datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread
2023-04-12 18:00:00-04:00,117.17,117.17,117.17,117.17,0.0,117.17,0,2023-04-12 18:00:00-04:00,19.09,312.54,0.0,0.0038830665323338802,0.0,-195.37
2023-04-12 19:00:00-04:00,117.17,117.17,117.17,117.17,0.0,117.17,0,2023-04-12 19:00:00-04:00,19.09,312.4,0.0,0.003769632396890613,0.0,-195.22999999999996
2023-04-13 09:00:00-04:00,116.76,117.49,116.31,117.33,9161.0,116.915,43,2023-04-13 09:00:00-04:00,18.62,315.79,0.0013655372535632537,0.0033820546949177377,0.3481099238497667,-198.46000000000004
2023-04-13 10:00:00-04:00,117.32,118.9,117.26,118.63,37998.0,118.377,278,2023-04-13 10:00:00-04:00,18.32,316.79,0.011079860223301763,0.004391634275249523,1.3975222098195814,-198.16000000000003
2023-04-13 11:00:00-04:00,118.62,119.22,118.51,119.04,19673.0,118.85,164,2023-04-13 11:00:00-04:00,18.17,317.52,0.0034561240832842177,0.004494013084151327,0.7272518913243984,-198.47999999999996
2023-04-13 12:00:00-04:00,119.09,119.34,118.2,118.98,20057.0,118.853,168,2023-04-13 12:00:00-04:00,18.1,317.71,-0.0005040322580645018,0.0044940629020974905,0.750286636653206,-198.72999999999996
2023-04-13 13:00:00-04:00,118.98,119.03,118.7,118.95,20103.0,118.918,180,2023-04-13 13:00:00-04:00,18.17,318.78,-0.0002521432173474558,0.0042217550659966584,0.8742810546344115,-199.82999999999998
2023-04-13 14:00:00-04:00,118.97,119.28,118.6,119.28,19371.0,118.885,169,2023-04-13 14:00:00-04:00,18.0,319.14,0.0027742749054224802,0.004275625094407877,0.9390224393932783,-199.85999999999999
2023-04-13 15:00:00-04:00,119.33,119.34,118.11,118.2,68219.0,118.465,564,2023-04-13 15:00:00-04:00,17.84,319.27,-0.00905432595573441,0.00472064989538094,2.837746491762636,-201.07
2023-04-13 16:00:00-04:00,118.17,118.17,118.17,118.17,89259.0,118.17,8,2023-04-13 16:00:00-04:00,17.8,318.55,-0.0002538071065989467,0.004719426341971825,3.131587072147298,-200.38
2023-04-13 17:00:00-04:00,118.17,118.17,118.17,118.17,0.0,118.17,0,2023-04-13 17:00:00-04:00,17.8,318.6,0.0,0.004719426341971825,0.0,-200.43
2023-04-13 18:00:00-04:00,118.17,118.17,118.17,118.17,0.0,118.17,0,2023-04-13 18:00:00-04:00,17.8,318.86,0.0,0.0046830225102811275,0.0,-200.69
2023-04-13 19:00:00-04:00,118.17,118.17,118.17,118.17,0.0,118.17,0,2023-04-13 19:00:00-04:00,17.8,318.75,0.0,0.004057259701180121,0.0,-200.57999999999998
2023-04-14 09:00:00-04:00,118.46,118.83,117.9,118.6,13712.0,118.455,84,2023-04-14 09:00:00-04:00,17.95,319.88,0.0036388254210035775,0.004140923776039607,0.5053419866514829,-201.28
2023-04-14 10:00:00-04:00,118.44,118.75,116.74,117.1,28307.0,117.834,225,2023-04-14 10:00:00-04:00,17.7,317.65,-0.012647554806070826,0.005017385891653099,1.0151172026988986,-200.54999999999998
2023-04-14 11:00:00-04:00,117.1,117.11,116.71,116.84,22885.0,116.893,197,2023-04-14 11:00:00-04:00,17.63,317.33,-0.002220324508966587,0.005002389337075146,0.8270406328658756,-200.48999999999998
2023-04-14 12:00:00-04:00,116.84,117.12,115.9,116.23,21415.0,116.437,204,2023-04-14 12:00:00-04:00,17.89,315.93,-0.0052208147894556856,0.004958757288010932,0.7728298781841114,-199.7
2023-04-14 13:00:00-04:00,116.29,116.63,115.64,116.21,23538.0,116.331,165,2023-04-14 13:00:00-04:00,17.43,316.83,-0.00017207261464347035,0.004750515157280156,0.9925279989205236,-200.62
2023-04-14 14:00:00-04:00,116.29,116.51,116.2,116.32,18100.0,116.318,160,2023-04-14 14:00:00-04:00,17.32,318.26,0.0009465622579811761,0.004759762007465825,0.8790717779105289,-201.94
2023-04-14 15:00:00-04:00,116.23,116.34,115.52,116.11,50422.0,116.083,443,2023-04-14 15:00:00-04:00,17.09,318.57,-0.001805364511691776,0.004769819797560459,2.181731642940591,-202.45999999999998
2023-04-14 16:00:00-04:00,116.11,116.11,116.11,116.11,53380.0,116.11,10,2023-04-14 16:00:00-04:00,17.07,319.0,0.0,0.004769819797560459,2.0705973622963536,-202.89
2023-04-14 17:00:00-04:00,116.11,116.11,116.11,116.11,0.0,116.11,0,2023-04-14 17:00:00-04:00,17.07,318.73,0.0,0.004769819797560459,0.0,-202.62
2023-04-14 18:00:00-04:00,116.11,116.11,116.11,116.11,0.0,116.11,0,2023-04-14 18:00:00-04:00,17.07,318.85,0.0,0.0047523034893107345,0.0,-202.74
2023-04-14 19:00:00-04:00,116.11,116.11,116.11,116.11,0.0,116.11,0,2023-04-14 19:00:00-04:00,17.07,318.9,0.0,0.003899135568772576,0.0,-202.78999999999996
