datetime,open,high,low,close,volume,average,barCount,start_time,VIX,SPY_close,QQQ_close,returns,volatility_20,volume_ma_ratio,close_SPY_spread,close_QQQ_spread
2023-04-12 18:00:00-04:00,218.31,218.32,218.31,218.31,190.0,218.313,1,2023-04-12 18:00:00-04:00,19.09,407.32,312.54,-0.017595175951759523,0.005179114794772557,0.005157395569525764,-189.01,-94.23000000000002
2023-04-12 19:00:00-04:00,218.31,218.32,218.31,218.31,0.0,218.31,0,2023-04-12 19:00:00-04:00,19.09,407.2,312.4,0.0,0.0051310877809289486,0.0,-188.89,-94.08999999999997
2023-04-13 09:00:00-04:00,223.66,225.08,221.86,221.9,32281.0,223.933,180,2023-04-13 09:00:00-04:00,18.62,409.14,315.79,0.016444505519673802,0.006440003731173671,0.8956532475441744,-187.23999999999998,-93.89000000000001
2023-04-13 10:00:00-04:00,222.13,222.98,221.26,222.17,20636.0,222.355,176,2023-04-13 10:00:00-04:00,18.32,410.26,316.79,0.0012167643082467983,0.006276537021808787,0.5814210667932668,-188.09,-94.62000000000003
2023-04-13 11:00:00-04:00,222.2,222.24,220.8,221.02,26396.0,221.351,223,2023-04-13 11:00:00-04:00,18.17,410.95,317.52,-0.005176216410856416,0.006116494428847367,0.7528496397040054,-189.92999999999998,-96.49999999999997
2023-04-13 12:00:00-04:00,221.05,222.11,220.87,221.16,61006.0,221.369,353,2023-04-13 12:00:00-04:00,18.1,411.49,317.71,0.0006334268392000908,0.006117106403462926,1.686697687792551,-190.33,-96.54999999999998
2023-04-13 13:00:00-04:00,221.12,222.28,220.9,222.08,67682.0,221.563,334,2023-04-13 13:00:00-04:00,18.17,412.67,318.78,0.004159884246699219,0.006122631094765799,2.0329289922611014,-190.59,-96.69999999999996
2023-04-13 14:00:00-04:00,222.08,223.3,221.86,223.05,97208.0,222.53,721,2023-04-13 14:00:00-04:00,18.0,413.56,319.14,0.004367795389049078,0.006215398286187591,2.803863937258612,-190.51,-96.08999999999997
2023-04-13 15:00:00-04:00,223.0,224.36,221.74,222.89,196555.0,223.014,943,2023-04-13 15:00:00-04:00,17.84,413.44,319.27,-0.0007173279533737587,0.006216275254740852,4.41725912167211,-190.55,-96.38
2023-04-13 16:00:00-04:00,223.31,223.31,223.31,223.31,67554.0,223.31,5,2023-04-13 16:00:00-04:00,17.8,413.0,318.55,0.001884337565615457,0.0062342340515901965,1.4110569767988344,-189.69,-95.24000000000001
2023-04-13 17:00:00-04:00,223.31,223.31,223.31,223.31,0.0,223.31,0,2023-04-13 17:00:00-04:00,17.8,412.95,318.6,0.0,0.0062342340515901965,0.0,-189.64,-95.29000000000002
2023-04-13 18:00:00-04:00,223.31,223.31,223.31,223.31,0.0,223.31,0,2023-04-13 18:00:00-04:00,17.8,413.24,318.86,0.0,0.0061685538023422545,0.0,-189.93,-95.55000000000001
2023-04-13 19:00:00-04:00,223.31,223.31,223.31,223.31,0.0,223.31,0,2023-04-13 19:00:00-04:00,17.8,413.15,318.75,0.0,0.00605318128293395,0.0,-189.83999999999997,-95.44
2023-04-14 09:00:00-04:00,222.35,224.72,221.9,223.97,21695.0,223.074,110,2023-04-14 09:00:00-04:00,17.95,414.83,319.88,0.0029555326675920757,0.006091527520381396,0.5121329114148159,-190.85999999999999,-95.91
2023-04-14 10:00:00-04:00,223.86,223.86,221.41,222.8,53298.0,222.461,214,2023-04-14 10:00:00-04:00,17.7,412.22,317.65,-0.005223913917042355,0.006151132597267986,1.2829304868699294,-189.42000000000002,-94.84999999999997
2023-04-14 11:00:00-04:00,223.05,223.05,221.46,222.32,24047.0,222.099,183,2023-04-14 11:00:00-04:00,17.63,411.77,317.33,-0.002154398563734339,0.006160835407035796,0.5752072678910581,-189.45,-95.00999999999999
2023-04-14 12:00:00-04:00,222.22,222.38,221.55,222.04,12751.0,222.009,112,2023-04-14 12:00:00-04:00,17.89,410.35,315.93,-0.0012594458438287548,0.00604936024976711,0.31055764472069053,-188.31000000000003,-93.89000000000001
2023-04-14 13:00:00-04:00,222.05,222.96,222.04,222.8,39718.0,222.633,286,2023-04-14 13:00:00-04:00,17.43,411.02,316.83,0.0034228067014954178,0.006081265126370814,1.012671782973407,-188.21999999999997,-94.02999999999997
2023-04-14 14:00:00-04:00,222.92,223.84,222.25,222.27,41943.0,222.954,346,2023-04-14 14:00:00-04:00,17.32,412.08,318.26,-0.0023788150807899644,0.006107562820889972,1.0994809688581315,-189.80999999999997,-95.98999999999998
2023-04-14 15:00:00-04:00,222.3,224.14,221.91,223.91,166860.0,222.846,896,2023-04-14 15:00:00-04:00,17.09,412.49,318.57,0.007378413641067061,0.006324702266862698,3.5890817577595664,-188.58,-94.66
2023-04-14 16:00:00-04:00,223.91,223.91,223.91,223.91,177383.0,223.91,11,2023-04-14 16:00:00-04:00,17.07,413.36,319.0,0.0,0.00470701069076763,3.2047139464486865,-189.45000000000002,-95.09
2023-04-14 17:00:00-04:00,223.91,223.91,223.91,223.91,0.0,223.91,0,2023-04-14 17:00:00-04:00,17.07,413.0,318.73,0.0,0.00470701069076763,0.0,-189.09,-94.82000000000002
2023-04-14 18:00:00-04:00,223.91,223.91,223.91,223.91,0.0,223.91,0,2023-04-14 18:00:00-04:00,17.07,413.03,318.85,0.0,0.0030697283643588455,0.0,-189.11999999999998,-94.94000000000003
2023-04-14 19:00:00-04:00,223.91,223.91,223.91,223.91,0.0,223.91,0,2023-04-14 19:00:00-04:00,17.07,413.15,318.9,0.0,0.0030659007675603186,0.0,-189.23999999999998,-94.98999999999998
2023-04-17 07:00:00-04:00,226.77,226.77,226.77,226.77,100.0,226.77,1,2023-04-17 07:00:00-04:00,17.63,413.06,318.57,0.012772989147425307,0.0038707872441751073,0.001945903872348706,-186.29,-91.79999999999998
2023-04-17 08:00:00-04:00,226.77,226.77,226.77,226.77,0.0,226.77,0,2023-04-17 08:00:00-04:00,17.72,412.6,318.48,0.0,0.003879042537878341,0.0,-185.83,-91.71000000000001
2023-04-17 09:00:00-04:00,225.0,227.7,224.85,227.7,22504.0,226.199,108,2023-04-17 09:00:00-04:00,17.74,412.68,318.15,0.004101071570313364,0.003876750412764799,0.48835957709067546,-184.98000000000002,-90.44999999999999
2023-04-17 10:00:00-04:00,227.94,228.3,226.18,226.91,35252.0,227.282,264,2023-04-17 10:00:00-04:00,17.33,412.34,317.58,-0.0034694773825207914,0.003941367441248256,0.8201381941697881,-185.42999999999998,-90.66999999999999
2023-04-17 11:00:00-04:00,226.86,228.79,226.49,228.71,17404.0,227.53,153,2023-04-17 11:00:00-04:00,17.39,411.67,316.73,0.007932660526199786,0.004223056601402496,0.511499480535893,-182.96,-88.02000000000001
2023-04-17 12:00:00-04:00,228.69,228.75,225.01,225.45,154418.0,227.008,181,2023-04-17 12:00:00-04:00,17.29,411.77,316.91,-0.014253858598224922,0.00546446521411501,4.024587781952192,-186.32,-91.46000000000004
2023-04-17 13:00:00-04:00,225.9,226.23,224.58,224.95,9670.0,225.651,77,2023-04-17 13:00:00-04:00,17.27,411.32,316.59,-0.002217786648924358,0.005497360741345391,0.24889227494488722,-186.37,-91.63999999999999
2023-04-17 14:00:00-04:00,224.72,225.43,224.52,225.34,13557.0,224.987,120,2023-04-17 14:00:00-04:00,17.01,412.7,317.7,0.0017337186041344044,0.005504712768250714,0.342954717935745,-187.35999999999999,-92.35999999999999
