datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread
2023-04-12 18:00:00-04:00,81.65,81.65,81.65,81.65,0.0,81.65,0,2023-04-12 18:00:00-04:00,19.09,312.54,0.0,0.0037727732223619783,0.0,-230.89000000000001
2023-04-12 19:00:00-04:00,81.65,81.65,81.65,81.65,0.0,81.65,0,2023-04-12 19:00:00-04:00,19.09,312.4,0.0,0.0027561081215292872,0.0,-230.74999999999997
2023-04-13 09:00:00-04:00,82.17,82.36,81.83,82.0,38025.0,82.096,201,2023-04-13 09:00:00-04:00,18.62,315.79,0.004286589099816274,0.0026371021443084438,0.6876882552250292,-233.79000000000002
2023-04-13 10:00:00-04:00,82.09,83.27,82.0,83.19,85294.0,82.784,621,2023-04-13 10:00:00-04:00,18.32,316.79,0.014512195121951121,0.00404622622920334,1.4835222652700053,-233.60000000000002
2023-04-13 11:00:00-04:00,83.17,83.57,82.95,83.52,28820.0,83.27,224,2023-04-13 11:00:00-04:00,18.17,317.52,0.0039668229354490325,0.004085144681971976,0.5060734965516939,-234.0
2023-04-13 12:00:00-04:00,83.47,83.97,83.47,83.83,30354.0,83.72,210,2023-04-13 12:00:00-04:00,18.1,317.71,0.0037116858237549177,0.004103783105557818,0.5352259202115935,-233.88
2023-04-13 13:00:00-04:00,83.83,83.97,83.44,83.92,68766.0,83.664,238,2023-04-13 13:00:00-04:00,18.17,318.78,0.0010736013360372887,0.0037981751505620767,1.3544946448356519,-234.85999999999996
2023-04-13 14:00:00-04:00,83.93,84.0,83.74,83.98,26047.0,83.904,219,2023-04-13 14:00:00-04:00,18.0,319.14,0.0007149666348904571,0.0037652290912444804,0.5398313998373065,-235.15999999999997
2023-04-13 15:00:00-04:00,84.0,84.73,83.97,84.62,191951.0,84.381,1214,2023-04-13 15:00:00-04:00,17.84,319.27,0.007620862110026216,0.003924425384136405,3.318207433990575,-234.64999999999998
2023-04-13 16:00:00-04:00,84.63,84.63,84.63,84.63,74009.0,84.63,6,2023-04-13 16:00:00-04:00,17.8,318.55,0.0001181753722523382,0.003920589989929421,1.2024549845040273,-233.92000000000002
2023-04-13 17:00:00-04:00,84.63,84.63,84.63,84.63,0.0,84.63,0,2023-04-13 17:00:00-04:00,17.8,318.6,0.0,0.003920589989929421,0.0,-233.97000000000003
2023-04-13 18:00:00-04:00,84.63,84.63,84.63,84.63,0.0,84.63,0,2023-04-13 18:00:00-04:00,17.8,318.86,0.0,0.003924860916957622,0.0,-234.23000000000002
2023-04-13 19:00:00-04:00,84.63,84.63,84.63,84.63,0.0,84.63,0,2023-04-13 19:00:00-04:00,17.8,318.75,0.0,0.003955667811420467,0.0,-234.12
