datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread
2023-04-12 15:00:00-04:00,93.19,93.46,92.54,92.83,570486.0,92.84,3914,2023-04-12 15:00:00-04:00,19.16,313.04,-0.004183651576914804,0.006442427622025567,3.6150043152994793,-220.21000000000004
2023-04-12 16:00:00-04:00,92.8,92.8,92.8,92.8,279028.0,92.8,19,2023-04-12 16:00:00-04:00,19.09,313.04,-0.0003231713885597509,0.006442927572853726,1.62450367368801,-220.24
2023-04-12 17:00:00-04:00,92.8,92.8,92.8,92.8,0.0,92.8,0,2023-04-12 17:00:00-04:00,19.09,312.9,0.0,0.006423324821133358,0.0,-220.09999999999997
2023-04-12 18:00:00-04:00,92.8,92.8,92.8,92.8,0.0,92.8,0,2023-04-12 18:00:00-04:00,19.09,312.54,0.0,0.006422970705360733,0.0,-219.74
2023-04-12 19:00:00-04:00,92.25,92.25,92.25,92.25,300.0,92.25,1,2023-04-12 19:00:00-04:00,19.09,312.4,-0.00592672413793105,0.006553175648350887,0.001898583972786963,-220.14999999999998
2023-04-13 09:00:00-04:00,93.12,93.49,92.7,92.81,73632.0,93.178,405,2023-04-13 09:00:00-04:00,18.62,315.79,0.00607046070460715,0.006507255459878497,0.48073049725495526,-222.98000000000002
2023-04-13 10:00:00-04:00,92.8,93.15,92.25,92.27,130603.0,92.767,959,2023-04-13 10:00:00-04:00,18.32,316.79,-0.005818338541105583,0.0059069673628057325,0.850174506351914,-224.52000000000004
2023-04-13 11:00:00-04:00,92.26,92.3,91.23,91.83,232294.0,91.687,1231,2023-04-13 11:00:00-04:00,18.17,317.52,-0.004768613850655634,0.00536652537246788,1.5389135572643995,-225.69
2023-04-13 12:00:00-04:00,91.78,92.15,91.66,92.06,143460.0,91.9,899,2023-04-13 12:00:00-04:00,18.1,317.71,0.0025046281171730023,0.005403024711586584,0.9699770926921091,-225.64999999999998
2023-04-13 13:00:00-04:00,92.06,92.22,91.83,92.13,149140.0,91.978,826,2023-04-13 13:00:00-04:00,18.17,318.78,0.0007603736693460039,0.005182964707082546,1.1149199599753152,-226.64999999999998
2023-04-13 14:00:00-04:00,92.14,92.56,92.1,92.56,113337.0,92.336,648,2023-04-13 14:00:00-04:00,18.0,319.14,0.0046673179203300386,0.005327931799121858,0.8766615744590335,-226.57999999999998
2023-04-13 15:00:00-04:00,92.59,92.63,91.67,91.92,401726.0,91.91,2346,2023-04-13 15:00:00-04:00,17.84,319.27,-0.00691443388072599,0.005503409865581428,2.689490710242032,-227.34999999999997
2023-04-13 16:00:00-04:00,91.93,91.93,91.93,91.93,285653.0,91.93,18,2023-04-13 16:00:00-04:00,17.8,318.55,0.00010879025239352025,0.005504523367381513,1.7454962971608254,-226.62
2023-04-13 17:00:00-04:00,91.75,91.75,91.75,91.75,100.0,91.75,1,2023-04-13 17:00:00-04:00,17.8,318.6,-0.001958011530512449,0.005502965686293093,0.0006110361064290469,-226.85000000000002
2023-04-13 18:00:00-04:00,91.75,91.75,91.75,91.75,0.0,91.75,0,2023-04-13 18:00:00-04:00,17.8,318.86,0.0,0.004785176066438604,0.0,-227.11
2023-04-13 19:00:00-04:00,91.75,91.75,91.75,91.75,0.0,91.75,0,2023-04-13 19:00:00-04:00,17.8,318.75,0.0,0.004799011787867592,0.0,-227.0
2023-04-14 09:00:00-04:00,92.04,92.51,91.88,92.26,60604.0,92.135,269,2023-04-14 09:00:00-04:00,17.95,319.88,0.005558583106267001,0.005057019404085358,0.4106974890826735,-227.62
