datetime,open,high,low,close,volume,average,barCount,start_time,VIX,SPY_close,QQQ_close,returns,volatility_20,volume_ma_ratio,close_SPY_spread,close_QQQ_spread
2023-04-12 14:00:00-04:00,16.21,16.26,16.07,16.16,376471.0,16.182,2434,2023-04-12 14:00:00-04:00,18.85,409.02,314.1,-0.0036991368680640013,0.007306974119407493,2.223990524420736,-392.85999999999996,-297.94
2023-04-12 15:00:00-04:00,16.16,16.21,16.11,16.17,590521.0,16.155,4071,2023-04-12 15:00:00-04:00,19.16,408.07,313.04,0.0006188118811882859,0.007303287960976873,2.97037825830859,-391.9,-296.87
2023-04-12 16:00:00-04:00,16.16,16.19,16.16,16.19,120557.0,16.16,9,2023-04-12 16:00:00-04:00,19.09,407.77,313.04,0.0012368583797155441,0.006516808649335187,0.607947691798755,-391.58,-296.85
2023-04-12 17:00:00-04:00,16.19,16.19,16.19,16.19,0.0,16.19,0,2023-04-12 17:00:00-04:00,19.09,407.79,312.9,0.0,0.005914517349378769,0.0,-391.6,-296.71
2023-04-12 18:00:00-04:00,16.19,16.19,16.19,16.19,0.0,16.19,0,2023-04-12 18:00:00-04:00,19.09,407.32,312.54,0.0,0.0059076050723238785,0.0,-391.13,-296.35
2023-04-12 19:00:00-04:00,16.19,16.19,16.19,16.19,0.0,16.19,0,2023-04-12 19:00:00-04:00,19.09,407.2,312.4,0.0,0.005374493840548499,0.0,-391.01,-296.21
2023-04-13 08:00:00-04:00,16.16,16.16,16.16,16.16,100.0,16.16,1,2023-04-13 08:00:00-04:00,18.56,409.55,314.78,-0.0018529956763434496,0.005391177621600696,0.000629069687710935,-393.39,-298.61999999999995
2023-04-13 09:00:00-04:00,16.37,16.81,16.31,16.75,417875.0,16.643,1913,2023-04-13 09:00:00-04:00,18.62,409.14,315.79,0.0365099009900991,0.009742348110684055,2.4234183842272943,-392.39,-299.04
2023-04-13 10:00:00-04:00,16.75,16.83,16.61,16.72,422496.0,16.735,2471,2023-04-13 10:00:00-04:00,18.32,410.26,316.79,-0.0017910447761194659,0.009460710888269464,2.486005422190971,-393.53999999999996,-300.07000000000005
2023-04-13 11:00:00-04:00,16.73,16.75,16.34,16.4,388834.0,16.503,2017,2023-04-13 11:00:00-04:00,18.17,410.95,317.52,-0.019138755980861233,0.010611092237987427,2.1852064679377934,-394.55,-301.12
2023-04-13 12:00:00-04:00,16.41,16.56,16.31,16.35,172570.0,16.429,1360,2023-04-13 12:00:00-04:00,18.1,411.49,317.71,-0.0030487804878046587,0.010654279840360182,0.9249722955869919,-395.14,-301.35999999999996
2023-04-13 13:00:00-04:00,16.35,16.55,16.3,16.54,205330.0,16.459,1507,2023-04-13 13:00:00-04:00,18.17,412.67,318.78,0.01162079510703351,0.010896015835845482,1.043161949711496,-396.13,-302.23999999999995
2023-04-13 14:00:00-04:00,16.54,16.56,16.32,16.41,225074.0,16.452,1585,2023-04-13 14:00:00-04:00,18.0,413.56,319.14,-0.007859733978234473,0.011105675584529904,1.0816291861205802,-397.15,-302.72999999999996
2023-04-13 15:00:00-04:00,16.41,16.45,16.36,16.38,543088.0,16.399,3824,2023-04-13 15:00:00-04:00,17.84,413.44,319.27,-0.001828153564899515,0.010688707375495604,2.3088282214679006,-397.06,-302.89
2023-04-13 16:00:00-04:00,16.36,16.36,16.36,16.36,156813.0,16.36,6,2023-04-13 16:00:00-04:00,17.8,413.0,318.55,-0.0012210012210012167,0.010703925491181394,0.6451537255773194,-396.64,-302.19
2023-04-13 17:00:00-04:00,16.36,16.36,16.36,16.36,0.0,16.36,0,2023-04-13 17:00:00-04:00,17.8,412.95,318.6,0.0,0.010604730997590805,0.0,-396.59,-302.24
2023-04-13 18:00:00-04:00,16.36,16.36,16.36,16.36,0.0,16.36,0,2023-04-13 18:00:00-04:00,17.8,413.24,318.86,0.0,0.010547702528686387,0.0,-396.88,-302.5
2023-04-13 19:00:00-04:00,16.36,16.36,16.36,16.36,0.0,16.36,0,2023-04-13 19:00:00-04:00,17.8,413.15,318.75,0.0,0.01007956977085562,0.0,-396.78999999999996,-302.39
2023-04-14 06:00:00-04:00,16.36,16.36,16.36,16.36,100.0,16.36,1,2023-04-14 06:00:00-04:00,17.96,413.1,317.54,0.0,0.010079965788023193,0.0005134635271452764,-396.74,-301.18
2023-04-14 07:00:00-04:00,16.36,16.36,16.36,16.36,0.0,16.36,0,2023-04-14 07:00:00-04:00,17.94,413.27,317.67,0.0,0.010073132475747783,0.0,-396.90999999999997,-301.31
2023-04-14 08:00:00-04:00,17.05,17.05,16.36,16.36,995.0,16.429,3,2023-04-14 08:00:00-04:00,17.95,412.91,317.15,0.0,0.01002626205932294,0.006133734522723021,-396.55,-300.78999999999996
2023-04-14 09:00:00-04:00,16.3,16.49,16.12,16.41,157419.0,16.349,871,2023-04-14 09:00:00-04:00,17.95,414.83,319.88,0.003056234718826545,0.010040509243977234,1.1199213446255778,-398.41999999999996,-303.46999999999997
2023-04-14 10:00:00-04:00,16.4,16.49,16.2,16.37,407412.0,16.351,2825,2023-04-14 10:00:00-04:00,17.7,412.22,317.65,-0.0024375380865325758,0.010065375984140899,2.6300714049164235,-395.85,-301.28
2023-04-14 11:00:00-04:00,16.36,16.4,16.2,16.29,254223.0,16.301,1871,2023-04-14 11:00:00-04:00,17.63,411.77,317.33,-0.004886988393402625,0.010139763704886869,1.5166948112789644,-395.47999999999996,-301.03999999999996
2023-04-14 12:00:00-04:00,16.27,16.32,16.18,16.2,149199.0,16.247,1149,2023-04-14 12:00:00-04:00,17.89,410.35,315.93,-0.0055248618784530246,0.01022487683209897,0.8521936708773998,-394.15000000000003,-299.73
2023-04-14 13:00:00-04:00,16.19,16.31,16.18,16.23,166113.0,16.238,1179,2023-04-14 13:00:00-04:00,17.43,411.02,316.83,0.0018518518518519933,0.010232497639640202,0.9058302053009005,-394.78999999999996,-300.59999999999997
2023-04-14 14:00:00-04:00,16.23,16.32,16.23,16.32,144007.0,16.274,1105,2023-04-14 14:00:00-04:00,17.32,412.08,318.26,0.005545286506469571,0.010288993651214906,0.7556352432135185,-395.76,-301.94
2023-04-14 15:00:00-04:00,16.31,16.56,16.26,16.48,548537.0,16.451,3538,2023-04-14 15:00:00-04:00,17.09,412.49,318.57,0.009803921568627416,0.006357161301999517,2.7828908150504414,-396.01,-302.09
2023-04-14 16:00:00-04:00,16.47,16.47,16.47,16.47,102766.0,16.47,10,2023-04-14 16:00:00-04:00,17.07,413.36,319.0,-0.0006067961165049374,0.006352889135591444,0.5673792539917405,-396.89,-302.53
2023-04-14 17:00:00-04:00,16.47,16.47,16.47,16.47,0.0,16.47,0,2023-04-14 17:00:00-04:00,17.07,413.0,318.73,0.0,0.004647033197013608,0.0,-396.53,-302.26
2023-04-14 18:00:00-04:00,16.47,16.47,16.47,16.47,0.0,16.47,0,2023-04-14 18:00:00-04:00,17.07,413.03,318.85,0.0,0.004583623997128136,0.0,-396.55999999999995,-302.38
2023-04-14 19:00:00-04:00,16.47,16.47,16.47,16.47,0.0,16.47,0,2023-04-14 19:00:00-04:00,17.07,413.15,318.9,0.0,0.003742489107550391,0.0,-396.67999999999995,-302.42999999999995
2023-04-17 04:00:00-04:00,16.37,16.37,16.37,16.37,500.0,16.37,4,2023-04-17 04:00:00-04:00,17.73,413.04,318.8,-0.006071645415907545,0.0035672661925892296,0.003800587722885467,-396.67,-302.43
2023-04-17 05:00:00-04:00,16.37,16.37,16.37,16.37,0.0,16.37,0,2023-04-17 05:00:00-04:00,17.75,412.81,318.24,0.0,0.003544433708145057,0.0,-396.44,-301.87
2023-04-17 06:00:00-04:00,16.37,16.37,16.37,16.37,0.0,16.37,0,2023-04-17 06:00:00-04:00,17.68,413.04,318.76,0.0,0.0035332393545852597,0.0,-396.67,-302.39
2023-04-17 07:00:00-04:00,16.33,16.33,16.33,16.33,100.0,16.33,1,2023-04-17 07:00:00-04:00,17.63,413.06,318.57,-0.0024434941967014234,0.0035765478900264985,0.001035533825453525,-396.73,-302.24
2023-04-17 08:00:00-04:00,16.37,16.37,16.37,16.37,500.0,16.37,1,2023-04-17 08:00:00-04:00,17.72,412.6,318.48,0.0024494794856093627,0.0036212966683353037,0.005176329061308959,-396.23,-302.11
2023-04-17 09:00:00-04:00,16.44,16.55,16.17,16.38,175420.0,16.417,1100,2023-04-17 09:00:00-04:00,17.74,412.68,318.15,0.0006108735491752171,0.003623545683678554,1.6648863398552929,-396.3,-301.77
2023-04-17 10:00:00-04:00,16.38,16.85,16.37,16.68,373328.0,16.691,2571,2023-04-17 10:00:00-04:00,17.33,412.34,317.58,0.01831501831501825,0.005456399864145076,3.0100797454081185,-395.65999999999997,-300.9
2023-04-17 11:00:00-04:00,16.68,16.71,16.52,16.59,158523.0,16.623,1152,2023-04-17 11:00:00-04:00,17.39,411.67,316.73,-0.0053956834532373765,0.005637935688486817,1.2013677690616518,-395.08000000000004,-300.14000000000004
2023-04-17 12:00:00-04:00,16.58,16.64,16.51,16.54,127289.0,16.588,933,2023-04-17 12:00:00-04:00,17.29,411.77,316.91,-0.003013863773357439,0.005697962419501167,0.9206042231396113,-395.22999999999996,-300.37
2023-04-17 13:00:00-04:00,16.53,16.58,16.52,16.55,142822.0,16.55,1082,2023-04-17 13:00:00-04:00,17.27,411.32,316.59,0.0006045949214028568,0.005667783894349343,1.038426401050772,-394.77,-300.03999999999996
2023-04-17 14:00:00-04:00,16.55,16.56,16.39,16.54,183871.0,16.47,1242,2023-04-17 14:00:00-04:00,17.01,412.7,317.7,-0.0006042296072508169,0.005633517279485852,1.4551372706056274,-396.15999999999997,-301.15999999999997
2023-04-17 15:00:00-04:00,16.54,16.56,16.3,16.35,618127.0,16.412,3311,2023-04-17 15:00:00-04:00,16.94,413.94,318.79,-0.011487303506650393,0.006138358777042981,4.276064974532202,-397.59,-302.44
2023-04-17 16:00:00-04:00,16.34,16.34,16.34,16.34,140349.0,16.34,8,2023-04-17 16:00:00-04:00,16.95,413.95,318.6,-0.0006116207951071262,0.0059937288384761134,0.9738843099076694,-397.61,-302.26000000000005
2023-04-17 17:00:00-04:00,16.58,16.58,16.58,16.58,1000.0,16.58,2,2023-04-17 17:00:00-04:00,16.95,413.87,318.7,0.014687882496939864,0.00678680477667145,0.007360683424734619,-397.29,-302.12
2023-04-17 18:00:00-04:00,16.58,16.58,16.58,16.58,0.0,16.58,0,2023-04-17 18:00:00-04:00,16.95,413.87,318.59,0.0,0.0067079878772059575,0.0,-397.29,-302.01
2023-04-17 19:00:00-04:00,16.58,16.58,16.58,16.58,0.0,16.58,0,2023-04-17 19:00:00-04:00,16.95,413.88,318.5,0.0,0.006365784204099325,0.0,-397.3,-301.92
