datetime,open,high,low,close,volume,average,barCount,start_time,VIX,SPY_close,QQQ_close,returns,volatility_20,volume_ma_ratio,close_SPY_spread,close_QQQ_spread
2023-04-12 18:00:00-04:00,91.18,91.18,91.18,91.18,0.0,91.18,0,2023-04-12 18:00:00-04:00,19.09,407.32,312.54,0.0,0.0038410141002051725,0.0,-316.14,-221.36
2023-04-12 19:00:00-04:00,91.18,91.18,91.18,91.18,0.0,91.18,0,2023-04-12 19:00:00-04:00,19.09,407.2,312.4,0.0,0.003352054102324231,0.0,-316.02,-221.21999999999997
2023-04-13 09:00:00-04:00,91.5,91.5,90.3,90.6,3037.0,90.953,16,2023-04-13 09:00:00-04:00,18.62,409.14,315.79,-0.006361044088616041,0.0033028526161040703,0.15529403342631204,-318.53999999999996,-225.19000000000003
2023-04-13 10:00:00-04:00,90.04,90.97,90.02,90.03,8482.0,90.467,69,2023-04-13 10:00:00-04:00,18.32,410.26,316.79,-0.006291390728476731,0.0035394943147908664,0.45384135884875615,-320.23,-226.76000000000002
2023-04-13 11:00:00-04:00,89.79,90.73,89.78,90.73,12048.0,90.233,109,2023-04-13 11:00:00-04:00,18.17,410.95,317.52,0.007775186049094884,0.003941115153169547,0.6621035306143198,-320.21999999999997,-226.78999999999996
2023-04-13 12:00:00-04:00,90.84,91.26,90.74,91.26,11235.0,90.985,102,2023-04-13 12:00:00-04:00,18.1,411.49,317.71,0.0058415077703075635,0.004163713034111735,0.6390603225164244,-320.23,-226.45
2023-04-13 13:00:00-04:00,91.27,91.42,91.03,91.3,17614.0,91.282,156,2023-04-13 13:00:00-04:00,18.17,412.67,318.78,0.0004383081306156278,0.0041609455855244806,1.1935100266632335,-321.37,-227.47999999999996
2023-04-13 14:00:00-04:00,91.36,91.5,90.9,91.22,37589.0,91.192,253,2023-04-13 14:00:00-04:00,18.0,413.56,319.14,-0.0008762322015334334,0.004164738418019928,2.450047744286166,-322.34000000000003,-227.92
2023-04-13 15:00:00-04:00,91.25,92.29,91.15,92.0,155828.0,92.063,1238,2023-04-13 15:00:00-04:00,17.84,413.44,319.27,0.00855075641306735,0.0045942049816381034,6.736017602140614,-321.44,-227.26999999999998
2023-04-13 16:00:00-04:00,92.02,92.02,92.02,92.02,54571.0,92.02,3,2023-04-13 16:00:00-04:00,17.8,413.0,318.55,0.0002173913043477249,0.004593690378189882,2.1100761345753054,-320.98,-226.53000000000003
2023-04-13 17:00:00-04:00,92.02,92.02,92.02,92.02,0.0,92.02,0,2023-04-13 17:00:00-04:00,17.8,412.95,318.6,0.0,0.004593690378189882,0.0,-320.93,-226.58000000000004
2023-04-13 18:00:00-04:00,92.02,92.02,92.02,92.02,0.0,92.02,0,2023-04-13 18:00:00-04:00,17.8,413.24,318.86,0.0,0.004551917542335284,0.0,-321.22,-226.84000000000003
2023-04-13 19:00:00-04:00,92.02,92.02,92.02,92.02,0.0,92.02,0,2023-04-13 19:00:00-04:00,17.8,413.15,318.75,0.0,0.004493143595040669,0.0,-321.13,-226.73000000000002
